,Name Text,Meeting Date Text, Text,Meeting Time Text,Meeting Location Text,Meeting Details Text,Agenda Text,Minutes Text,Video Text,Audio Text,Transcript Text,Name URL,Meeting Date URL, URL,Meeting Time URL,Meeting Location URL,Meeting Details URL,Agenda URL,Minutes URL,Video URL,Audio URL,Transcript URL
16,Government Audit and Oversight Committee,10/6/2016,,9:30 AM,"City Hall, Legislative Chamber, Room 250Regular Meeting",Meeting details,Agenda,Minutes,Video,AudioDownload,Transcript,,,https://sfgov.legistar.com/View.ashx?M=IC&ID=507172&GUID=AEB4AB48-82EA-4A16-AB07-0E32220FD228,,,https://sfgov.legistar.com/MeetingDetail.aspx?ID=507172&GUID=AEB4AB48-82EA-4A16-AB07-0E32220FD228&Options=info&Search=,https://sfgov.legistar.com/View.ashx?M=A&ID=507172&GUID=AEB4AB48-82EA-4A16-AB07-0E32220FD228,https://sfgov.legistar.com/View.ashx?M=M&ID=507172&GUID=AEB4AB48-82EA-4A16-AB07-0E32220FD228,https://sfgov.legistar.com/#,https://sfgov.legistar.com/#,https://sfgov.legistar.com/#
17,Budget and Finance Committee,10/5/2016,,10:00 AM,"City Hall, Legislative Chamber, Room 250Regular Meeting",Meeting details,Agenda,Minutes,Video,AudioDownload,Transcript,,,https://sfgov.legistar.com/View.ashx?M=IC&ID=507387&GUID=EE77E4E9-431A-4B80-A90D-8B429F9B4215,,,https://sfgov.legistar.com/MeetingDetail.aspx?ID=507387&GUID=EE77E4E9-431A-4B80-A90D-8B429F9B4215&Options=info&Search=,https://sfgov.legistar.com/View.ashx?M=A&ID=507387&GUID=EE77E4E9-431A-4B80-A90D-8B429F9B4215,https://sfgov.legistar.com/View.ashx?M=M&ID=507387&GUID=EE77E4E9-431A-4B80-A90D-8B429F9B4215,https://sfgov.legistar.com/#,https://sfgov.legistar.com/#,https://sfgov.legistar.com/#
18,Board of Supervisors,10/4/2016,,2:00 PM,"Legislative Chamber, Room 250
City Hall, 1 Dr. Carlton B. Goodlett Place
San Francisco, CA 94102-4689Regular Meeting",Meeting details,Agenda,Minutes,Not available,Not available,Not available,,,https://sfgov.legistar.com/View.ashx?M=IC&ID=507697&GUID=F2C0EFCC-9F93-4DBC-A6FB-AE8E953E8DA2,,,https://sfgov.legistar.com/MeetingDetail.aspx?ID=507697&GUID=F2C0EFCC-9F93-4DBC-A6FB-AE8E953E8DA2&Options=info&Search=,https://sfgov.legistar.com/View.ashx?M=A&ID=507697&GUID=F2C0EFCC-9F93-4DBC-A6FB-AE8E953E8DA2,https://sfgov.legistar.com/View.ashx?M=M&ID=507697&GUID=F2C0EFCC-9F93-4DBC-A6FB-AE8E953E8DA2,,,
19,Land Use and Transportation Committee,10/3/2016,,1:30 PM,"City Hall, Legislative Chamber, Room 250Regular Meeting",Meeting details,Agenda,Minutes,Video,AudioDownload,Transcript,,,https://sfgov.legistar.com/View.ashx?M=IC&ID=507436&GUID=F428DD28-3872-42BD-9EDC-23BFFE7D8420,,,https://sfgov.legistar.com/MeetingDetail.aspx?ID=507436&GUID=F428DD28-3872-42BD-9EDC-23BFFE7D8420&Options=info&Search=,https://sfgov.legistar.com/View.ashx?M=A&ID=507436&GUID=F428DD28-3872-42BD-9EDC-23BFFE7D8420,https://sfgov.legistar.com/View.ashx?M=M&ID=507436&GUID=F428DD28-3872-42BD-9EDC-23BFFE7D8420,https://sfgov.legistar.com/#,https://sfgov.legistar.com/#,https://sfgov.legistar.com/#
20,Government Audit and Oversight Committee,9/29/2016,,10:00 AM,"City Hall, Committee Room 263Special Meeting",Meeting details,Agenda,Minutes,Video,AudioDownload,Transcript,,,https://sfgov.legistar.com/View.ashx?M=IC&ID=506358&GUID=B635CE0A-3728-4572-A93C-57B432CE0F82,,,https://sfgov.legistar.com/MeetingDetail.aspx?ID=506358&GUID=B635CE0A-3728-4572-A93C-57B432CE0F82&Options=info&Search=,https://sfgov.legistar.com/View.ashx?M=A&ID=506358&GUID=B635CE0A-3728-4572-A93C-57B432CE0F82,https://sfgov.legistar.com/View.ashx?M=M&ID=506358&GUID=B635CE0A-3728-4572-A93C-57B432CE0F82,https://sfgov.legistar.com/#,https://sfgov.legistar.com/#,https://sfgov.legistar.com/#
21,Budget and Finance Committee,9/28/2016,,10:00 AM,"City Hall, Legislative Chamber, Room 250Regular Meeting",Meeting details,Agenda,Minutes,Video,AudioDownload,Transcript,,,https://sfgov.legistar.com/View.ashx?M=IC&ID=506483&GUID=943FB21C-21EA-47C4-A228-51A81E869760,,,https://sfgov.legistar.com/MeetingDetail.aspx?ID=506483&GUID=943FB21C-21EA-47C4-A228-51A81E869760&Options=info&Search=,https://sfgov.legistar.com/View.ashx?M=A&ID=506483&GUID=943FB21C-21EA-47C4-A228-51A81E869760,https://sfgov.legistar.com/View.ashx?M=M&ID=506483&GUID=943FB21C-21EA-47C4-A228-51A81E869760,https://sfgov.legistar.com/#,https://sfgov.legistar.com/#,https://sfgov.legistar.com/#
22,Board of Supervisors,9/27/2016,,2:00 PM,"Legislative Chamber, Room 250
City Hall, 1 Dr. Carlton B. Goodlett Place
San Francisco, CA 94102-4689Regular Meeting",Meeting details,Agenda,Minutes,Video,AudioDownload,Transcript,,,https://sfgov.legistar.com/View.ashx?M=IC&ID=506689&GUID=4DA295BA-18B1-492B-AB76-4448C271802D,,,https://sfgov.legistar.com/MeetingDetail.aspx?ID=506689&GUID=4DA295BA-18B1-492B-AB76-4448C271802D&Options=info&Search=,https://sfgov.legistar.com/View.ashx?M=A&ID=506689&GUID=4DA295BA-18B1-492B-AB76-4448C271802D,https://sfgov.legistar.com/View.ashx?M=M&ID=506689&GUID=4DA295BA-18B1-492B-AB76-4448C271802D,https://sfgov.legistar.com/#,https://sfgov.legistar.com/#,https://sfgov.legistar.com/#
23,Land Use and Transportation Committee,9/26/2016,,1:30 PM,"City Hall, Legislative Chamber, Room 250Regular Meeting",Meeting details,Agenda,Minutes,Video,AudioDownload,Transcript,,,https://sfgov.legistar.com/View.ashx?M=IC&ID=506277&GUID=352AE147-D561-4928-B50F-E96622A0BE63,,,https://sfgov.legistar.com/MeetingDetail.aspx?ID=506277&GUID=352AE147-D561-4928-B50F-E96622A0BE63&Options=info&Search=,https://sfgov.legistar.com/View.ashx?M=A&ID=506277&GUID=352AE147-D561-4928-B50F-E96622A0BE63,https://sfgov.legistar.com/View.ashx?M=M&ID=506277&GUID=352AE147-D561-4928-B50F-E96622A0BE63,https://sfgov.legistar.com/#,https://sfgov.legistar.com/#,https://sfgov.legistar.com/#
24,Rules Committee,9/22/2016,,11:00 AM,"City Hall, Committee Room 263Regular Meeting",Meeting details,Agenda,Minutes,Video,AudioDownload,Transcript,,,https://sfgov.legistar.com/View.ashx?M=IC&ID=506101&GUID=AE876952-3C4F-47C5-9955-96A8D62AFF1D,,,https://sfgov.legistar.com/MeetingDetail.aspx?ID=506101&GUID=AE876952-3C4F-47C5-9955-96A8D62AFF1D&Options=info&Search=,https://sfgov.legistar.com/View.ashx?M=A&ID=506101&GUID=AE876952-3C4F-47C5-9955-96A8D62AFF1D,https://sfgov.legistar.com/View.ashx?M=M&ID=506101&GUID=AE876952-3C4F-47C5-9955-96A8D62AFF1D,https://sfgov.legistar.com/#,https://sfgov.legistar.com/#,https://sfgov.legistar.com/#
25,Government Audit and Oversight Committee,9/22/2016,,10:00 AM,"City Hall, Legislative Chamber, Room 250Special Meeting",Meeting details,Agenda,Minutes,Video,AudioDownload,Transcript,,,https://sfgov.legistar.com/View.ashx?M=IC&ID=505450&GUID=5E0301D7-35DC-4AC3-B4B6-547D748C12C8,,,https://sfgov.legistar.com/MeetingDetail.aspx?ID=505450&GUID=5E0301D7-35DC-4AC3-B4B6-547D748C12C8&Options=info&Search=,https://sfgov.legistar.com/View.ashx?M=A&ID=505450&GUID=5E0301D7-35DC-4AC3-B4B6-547D748C12C8,https://sfgov.legistar.com/View.ashx?M=M&ID=505450&GUID=5E0301D7-35DC-4AC3-B4B6-547D748C12C8,https://sfgov.legistar.com/#,https://sfgov.legistar.com/#,https://sfgov.legistar.com/#
26,Budget and Finance Committee,9/21/2016,,10:00 AM,"City Hall, Legislative Chamber, Room 250Regular Meeting",Meeting details,Agenda,Minutes,Video,AudioDownload,Transcript,,,https://sfgov.legistar.com/View.ashx?M=IC&ID=505454&GUID=8B9F4A0F-FE86-4AE9-A86C-43065CEEA81C,,,https://sfgov.legistar.com/MeetingDetail.aspx?ID=505454&GUID=8B9F4A0F-FE86-4AE9-A86C-43065CEEA81C&Options=info&Search=,https://sfgov.legistar.com/View.ashx?M=A&ID=505454&GUID=8B9F4A0F-FE86-4AE9-A86C-43065CEEA81C,https://sfgov.legistar.com/View.ashx?M=M&ID=505454&GUID=8B9F4A0F-FE86-4AE9-A86C-43065CEEA81C,https://sfgov.legistar.com/#,https://sfgov.legistar.com/#,https://sfgov.legistar.com/#
27,Board of Supervisors,9/20/2016,,2:00 PM,"Legislative Chamber, Room 250
City Hall, 1 Dr. Carlton B. Goodlett Place
San Francisco, CA 94102-4689Regular Meeting",Meeting details,Agenda,Minutes,Not available,Not available,Not available,,,https://sfgov.legistar.com/View.ashx?M=IC&ID=505655&GUID=70159C41-9BB4-4F1D-837B-44B26F387886,,,https://sfgov.legistar.com/MeetingDetail.aspx?ID=505655&GUID=70159C41-9BB4-4F1D-837B-44B26F387886&Options=info&Search=,https://sfgov.legistar.com/View.ashx?M=A&ID=505655&GUID=70159C41-9BB4-4F1D-837B-44B26F387886,https://sfgov.legistar.com/View.ashx?M=M&ID=505655&GUID=70159C41-9BB4-4F1D-837B-44B26F387886,,,
28,Land Use and Transportation Committee,9/19/2016,,1:30 PM,"City Hall, Legislative Chamber, Room 250Regular Meeting",Meeting details,Agenda,Minutes,Video,AudioDownload,Transcript,,,https://sfgov.legistar.com/View.ashx?M=IC&ID=505555&GUID=A0AAD41D-06F6-4176-A065-8086797481EA,,,https://sfgov.legistar.com/MeetingDetail.aspx?ID=505555&GUID=A0AAD41D-06F6-4176-A065-8086797481EA&Options=info&Search=,https://sfgov.legistar.com/View.ashx?M=A&ID=505555&GUID=A0AAD41D-06F6-4176-A065-8086797481EA,https://sfgov.legistar.com/View.ashx?M=M&ID=505555&GUID=A0AAD41D-06F6-4176-A065-8086797481EA,https://sfgov.legistar.com/#,https://sfgov.legistar.com/#,https://sfgov.legistar.com/#
29,Government Audit and Oversight Committee,9/15/2016,,9:30 AM,"City Hall, Legislative Chamber, Room 250Regular Meeting",Meeting details,Agenda,Minutes,Video,AudioDownload,Transcript,,,https://sfgov.legistar.com/View.ashx?M=IC&ID=504337&GUID=DDC5F8DF-C32D-476C-A98B-781D76788A7F,,,https://sfgov.legistar.com/MeetingDetail.aspx?ID=504337&GUID=DDC5F8DF-C32D-476C-A98B-781D76788A7F&Options=info&Search=,https://sfgov.legistar.com/View.ashx?M=A&ID=504337&GUID=DDC5F8DF-C32D-476C-A98B-781D76788A7F,https://sfgov.legistar.com/View.ashx?M=M&ID=504337&GUID=DDC5F8DF-C32D-476C-A98B-781D76788A7F,https://sfgov.legistar.com/#,https://sfgov.legistar.com/#,https://sfgov.legistar.com/#
30,Budget and Finance Committee,9/14/2016,,10:00 AM,"City Hall, Legislative Chamber, Room 250Regular Meeting",Meeting details,Agenda,Minutes,Video,AudioDownload,Transcript,,,https://sfgov.legistar.com/View.ashx?M=IC&ID=501963&GUID=CCD1C9C5-0200-462E-A22C-8158FEE980E0,,,https://sfgov.legistar.com/MeetingDetail.aspx?ID=501963&GUID=CCD1C9C5-0200-462E-A22C-8158FEE980E0&Options=info&Search=,https://sfgov.legistar.com/View.ashx?M=A&ID=501963&GUID=CCD1C9C5-0200-462E-A22C-8158FEE980E0,https://sfgov.legistar.com/View.ashx?M=M&ID=501963&GUID=CCD1C9C5-0200-462E-A22C-8158FEE980E0,https://sfgov.legistar.com/#,https://sfgov.legistar.com/#,https://sfgov.legistar.com/#
31,Board of Supervisors,9/13/2016,,2:00 PM,"Legislative Chamber, Room 250
City Hall, 1 Dr. Carlton B. Goodlett Place
San Francisco, CA 94102-4689Regular Meeting",Meeting details,Agenda,Minutes,Video,AudioDownload,Transcript,,,https://sfgov.legistar.com/View.ashx?M=IC&ID=504572&GUID=F1BCD440-6A56-444E-A27D-93F8645A963A,,,https://sfgov.legistar.com/MeetingDetail.aspx?ID=504572&GUID=F1BCD440-6A56-444E-A27D-93F8645A963A&Options=info&Search=,https://sfgov.legistar.com/View.ashx?M=A&ID=504572&GUID=F1BCD440-6A56-444E-A27D-93F8645A963A,https://sfgov.legistar.com/View.ashx?M=M&ID=504572&GUID=F1BCD440-6A56-444E-A27D-93F8645A963A,https://sfgov.legistar.com/#,https://sfgov.legistar.com/#,https://sfgov.legistar.com/#
32,Land Use and Transportation Committee,9/12/2016,,1:30 PM,"City Hall, Legislative Chamber, Room 250Regular Meeting",Meeting details,Agenda,Minutes,Video,AudioDownload,Transcript,,,https://sfgov.legistar.com/View.ashx?M=IC&ID=504211&GUID=572603D1-0F66-42CB-9B79-9A1EAEBEE71A,,,https://sfgov.legistar.com/MeetingDetail.aspx?ID=504211&GUID=572603D1-0F66-42CB-9B79-9A1EAEBEE71A&Options=info&Search=,https://sfgov.legistar.com/View.ashx?M=A&ID=504211&GUID=572603D1-0F66-42CB-9B79-9A1EAEBEE71A,https://sfgov.legistar.com/View.ashx?M=M&ID=504211&GUID=572603D1-0F66-42CB-9B79-9A1EAEBEE71A,https://sfgov.legistar.com/#,https://sfgov.legistar.com/#,https://sfgov.legistar.com/#
33,Public Safety and Neighborhood Services Committee,9/8/2016,,2:30 PM,"City Hall, Legislative Chamber, Room 250Regular Meeting",Meeting details,Agenda,Minutes,Video,AudioDownload,Transcript,,,https://sfgov.legistar.com/View.ashx?M=IC&ID=503528&GUID=83C36538-2F8D-4B70-9975-0836C9541967,,,https://sfgov.legistar.com/MeetingDetail.aspx?ID=503528&GUID=83C36538-2F8D-4B70-9975-0836C9541967&Options=info&Search=,https://sfgov.legistar.com/View.ashx?M=A&ID=503528&GUID=83C36538-2F8D-4B70-9975-0836C9541967,https://sfgov.legistar.com/View.ashx?M=M&ID=503528&GUID=83C36538-2F8D-4B70-9975-0836C9541967,https://sfgov.legistar.com/#,https://sfgov.legistar.com/#,https://sfgov.legistar.com/#
34,Rules Committee,9/8/2016,,11:00 AM,"City Hall, Committee Room 263Regular Meeting",Meeting details,Agenda,Minutes,Video,AudioDownload,Transcript,,,https://sfgov.legistar.com/View.ashx?M=IC&ID=503967&GUID=4201D504-96CE-41AD-8C04-DDFF9E2CBB96,,,https://sfgov.legistar.com/MeetingDetail.aspx?ID=503967&GUID=4201D504-96CE-41AD-8C04-DDFF9E2CBB96&Options=info&Search=,https://sfgov.legistar.com/View.ashx?M=A&ID=503967&GUID=4201D504-96CE-41AD-8C04-DDFF9E2CBB96,https://sfgov.legistar.com/View.ashx?M=M&ID=503967&GUID=4201D504-96CE-41AD-8C04-DDFF9E2CBB96,https://sfgov.legistar.com/#,https://sfgov.legistar.com/#,https://sfgov.legistar.com/#
35,Government Audit and Oversight Committee,9/7/2016,,1:30 PM,"City Hall, Committee Room 263Special Meeting",Meeting details,Agenda,Minutes,Video,AudioDownload,Transcript,,,https://sfgov.legistar.com/View.ashx?M=IC&ID=503536&GUID=99510DE3-6C17-456A-8A68-8F6B90401FED,,,https://sfgov.legistar.com/MeetingDetail.aspx?ID=503536&GUID=99510DE3-6C17-456A-8A68-8F6B90401FED&Options=info&Search=,https://sfgov.legistar.com/View.ashx?M=A&ID=503536&GUID=99510DE3-6C17-456A-8A68-8F6B90401FED,https://sfgov.legistar.com/View.ashx?M=M&ID=503536&GUID=99510DE3-6C17-456A-8A68-8F6B90401FED,https://sfgov.legistar.com/#,https://sfgov.legistar.com/#,https://sfgov.legistar.com/#
36,Budget and Finance Committee,9/7/2016,,10:00 AM,"City Hall, Legislative Chamber, Room 250Regular Meeting",Meeting details,Agenda,Minutes,Video,AudioDownload,Transcript,,,https://sfgov.legistar.com/View.ashx?M=IC&ID=500621&GUID=F7A8983E-3AD6-4513-893D-150D035EC470,,,https://sfgov.legistar.com/MeetingDetail.aspx?ID=500621&GUID=F7A8983E-3AD6-4513-893D-150D035EC470&Options=info&Search=,https://sfgov.legistar.com/View.ashx?M=A&ID=500621&GUID=F7A8983E-3AD6-4513-893D-150D035EC470,https://sfgov.legistar.com/View.ashx?M=M&ID=500621&GUID=F7A8983E-3AD6-4513-893D-150D035EC470,https://sfgov.legistar.com/#,https://sfgov.legistar.com/#,https://sfgov.legistar.com/#
37,Board of Supervisors,9/6/2016,,2:00 PM,"Legislative Chamber, Room 250
City Hall, 1 Dr. Carlton B. Goodlett Place
San Francisco, CA 94102-4689Regular Meeting",Meeting details,Agenda,Minutes,Not available,Not available,Not available,,,https://sfgov.legistar.com/View.ashx?M=IC&ID=503178&GUID=5973E0C5-FF10-4FDD-83AA-9F4546BA5926,,,https://sfgov.legistar.com/MeetingDetail.aspx?ID=503178&GUID=5973E0C5-FF10-4FDD-83AA-9F4546BA5926&Options=info&Search=,https://sfgov.legistar.com/View.ashx?M=A&ID=503178&GUID=5973E0C5-FF10-4FDD-83AA-9F4546BA5926,https://sfgov.legistar.com/View.ashx?M=M&ID=503178&GUID=5973E0C5-FF10-4FDD-83AA-9F4546BA5926,,,
38,Government Audit and Oversight Committee,9/1/2016,,9:30 AM,"City Hall, Legislative Chamber, Room 250Special Meeting",Meeting details,Agenda,Minutes,Video,AudioDownload,Transcript,,,https://sfgov.legistar.com/View.ashx?M=IC&ID=502438&GUID=B9633CE3-DA71-4F1B-ADC5-29C681EB8E29,,,https://sfgov.legistar.com/MeetingDetail.aspx?ID=502438&GUID=B9633CE3-DA71-4F1B-ADC5-29C681EB8E29&Options=info&Search=,https://sfgov.legistar.com/View.ashx?M=A&ID=502438&GUID=B9633CE3-DA71-4F1B-ADC5-29C681EB8E29,https://sfgov.legistar.com/View.ashx?M=M&ID=502438&GUID=B9633CE3-DA71-4F1B-ADC5-29C681EB8E29,https://sfgov.legistar.com/#,https://sfgov.legistar.com/#,https://sfgov.legistar.com/#
39,Board of Supervisors,8/8/2016,,2:00 PM,"Legislative Chamber, Room 250
City Hall, 1 Dr. Carlton B. Goodlett Place
San Francisco, CA 94102-4689Special Meeting",Meeting details,Agenda,Minutes,Video,AudioDownload,Transcript,,,https://sfgov.legistar.com/View.ashx?M=IC&ID=500592&GUID=343FCDA1-88D9-488D-9549-19EC7418520E,,,https://sfgov.legistar.com/MeetingDetail.aspx?ID=500592&GUID=343FCDA1-88D9-488D-9549-19EC7418520E&Options=info&Search=,https://sfgov.legistar.com/View.ashx?M=A&ID=500592&GUID=343FCDA1-88D9-488D-9549-19EC7418520E,https://sfgov.legistar.com/View.ashx?M=M&ID=500592&GUID=343FCDA1-88D9-488D-9549-19EC7418520E,https://sfgov.legistar.com/#,https://sfgov.legistar.com/#,https://sfgov.legistar.com/#
40,Board of Supervisors,8/2/2016,,2:00 PM,"Legislative Chamber, Room 250
City Hall, 1 Dr. Carlton B. Goodlett Place
San Francisco, CA 94102-4689Regular Meeting",Meeting details,Agenda,Minutes,Video,AudioDownload,Transcript,,,https://sfgov.legistar.com/View.ashx?M=IC&ID=499841&GUID=C27AC421-6E33-4012-8106-DFAA0E04935C,,,https://sfgov.legistar.com/MeetingDetail.aspx?ID=499841&GUID=C27AC421-6E33-4012-8106-DFAA0E04935C&Options=info&Search=,https://sfgov.legistar.com/View.ashx?M=A&ID=499841&GUID=C27AC421-6E33-4012-8106-DFAA0E04935C,https://sfgov.legistar.com/View.ashx?M=M&ID=499841&GUID=C27AC421-6E33-4012-8106-DFAA0E04935C,https://sfgov.legistar.com/#,https://sfgov.legistar.com/#,https://sfgov.legistar.com/#
41,Budget and Finance Committee,8/1/2016,,2:00 PM,"City Hall, Committee Room 263Special Meeting",Meeting details,Agenda,Minutes,Video,AudioDownload,Transcript,,,https://sfgov.legistar.com/View.ashx?M=IC&ID=499764&GUID=5B2F68C7-FC54-4EC7-9C02-F12D76183C79,,,https://sfgov.legistar.com/MeetingDetail.aspx?ID=499764&GUID=5B2F68C7-FC54-4EC7-9C02-F12D76183C79&Options=info&Search=,https://sfgov.legistar.com/View.ashx?M=A&ID=499764&GUID=5B2F68C7-FC54-4EC7-9C02-F12D76183C79,https://sfgov.legistar.com/View.ashx?M=M&ID=499764&GUID=5B2F68C7-FC54-4EC7-9C02-F12D76183C79,https://sfgov.legistar.com/#,https://sfgov.legistar.com/#,https://sfgov.legistar.com/#
42,Land Use and Transportation Committee,8/1/2016,,1:30 PM,"City Hall, Legislative Chamber, Room 250Regular Meeting",Meeting details,Agenda,Minutes,Not available,Not available,Not available,,,https://sfgov.legistar.com/View.ashx?M=IC&ID=499765&GUID=D201F6D3-5F4D-4525-B0C0-D7ECDDF7AB80,,,https://sfgov.legistar.com/MeetingDetail.aspx?ID=499765&GUID=D201F6D3-5F4D-4525-B0C0-D7ECDDF7AB80&Options=info&Search=,https://sfgov.legistar.com/View.ashx?M=A&ID=499765&GUID=D201F6D3-5F4D-4525-B0C0-D7ECDDF7AB80,https://sfgov.legistar.com/View.ashx?M=M&ID=499765&GUID=D201F6D3-5F4D-4525-B0C0-D7ECDDF7AB80,,,
43,Board of Supervisors,7/29/2016,,10:35 AM,"Legislative Chamber, Room 250
City Hall, 1 Dr. Carlton B. Goodlett Place
San Francisco, CA 94102-4689Special Meeting",Meeting details,Agenda,Minutes,Not available,Not available,Not available,,,https://sfgov.legistar.com/View.ashx?M=IC&ID=499770&GUID=0927E689-1479-46EE-93B5-274EB2C488F2,,,https://sfgov.legistar.com/MeetingDetail.aspx?ID=499770&GUID=0927E689-1479-46EE-93B5-274EB2C488F2&Options=info&Search=,https://sfgov.legistar.com/View.ashx?M=A&ID=499770&GUID=0927E689-1479-46EE-93B5-274EB2C488F2,https://sfgov.legistar.com/View.ashx?M=M&ID=499770&GUID=0927E689-1479-46EE-93B5-274EB2C488F2,,,
44,Board of Supervisors,7/29/2016,,10:30 AM,"Legislative Chamber, Room 250
City Hall, 1 Dr. Carlton B. Goodlett Place
San Francisco, CA 94102-4689Special Meeting",Meeting details,Agenda,Minutes,Not available,Not available,Not available,,,https://sfgov.legistar.com/View.ashx?M=IC&ID=499769&GUID=3CF38891-6F82-4F47-A7CE-590706CFE956,,,https://sfgov.legistar.com/MeetingDetail.aspx?ID=499769&GUID=3CF38891-6F82-4F47-A7CE-590706CFE956&Options=info&Search=,https://sfgov.legistar.com/View.ashx?M=A&ID=499769&GUID=3CF38891-6F82-4F47-A7CE-590706CFE956,https://sfgov.legistar.com/View.ashx?M=M&ID=499769&GUID=3CF38891-6F82-4F47-A7CE-590706CFE956,,,
45,Board of Supervisors,7/29/2016,,10:00 AM,"Legislative Chamber, Room 250
City Hall, 1 Dr. Carlton B. Goodlett Place
San Francisco, CA 94102-4689Special Meeting",Meeting details,Agenda,Minutes,Video,AudioDownload,Transcript,,,https://sfgov.legistar.com/View.ashx?M=IC&ID=499768&GUID=0A070863-8FF7-41C4-A673-48292F19427D,,,https://sfgov.legistar.com/MeetingDetail.aspx?ID=499768&GUID=0A070863-8FF7-41C4-A673-48292F19427D&Options=info&Search=,https://sfgov.legistar.com/View.ashx?M=A&ID=499768&GUID=0A070863-8FF7-41C4-A673-48292F19427D,https://sfgov.legistar.com/View.ashx?M=M&ID=499768&GUID=0A070863-8FF7-41C4-A673-48292F19427D,https://sfgov.legistar.com/#,https://sfgov.legistar.com/#,https://sfgov.legistar.com/#
46,Rules Committee,7/28/2016,,11:00 AM,"City Hall, Committee Room 263Regular Meeting",Meeting details,Agenda,Minutes,Video,AudioDownload,Transcript,,,https://sfgov.legistar.com/View.ashx?M=IC&ID=499763&GUID=48BD93ED-FFF1-4937-A550-97C945C76E11,,,https://sfgov.legistar.com/MeetingDetail.aspx?ID=499763&GUID=48BD93ED-FFF1-4937-A550-97C945C76E11&Options=info&Search=,https://sfgov.legistar.com/View.ashx?M=A&ID=499763&GUID=48BD93ED-FFF1-4937-A550-97C945C76E11,https://sfgov.legistar.com/View.ashx?M=M&ID=499763&GUID=48BD93ED-FFF1-4937-A550-97C945C76E11,https://sfgov.legistar.com/#,https://sfgov.legistar.com/#,https://sfgov.legistar.com/#
47,Board of Supervisors,7/28/2016,,8:40 AM,"Legislative Chamber, Room 250
City Hall, 1 Dr. Carlton B. Goodlett Place
San Francisco, CA 94102-4689Special Meeting",Meeting details,Agenda,Minutes,Not available,Not available,Not available,,,https://sfgov.legistar.com/View.ashx?M=IC&ID=499767&GUID=0A31461E-E640-4C80-BDDC-F98F3DF16372,,,https://sfgov.legistar.com/MeetingDetail.aspx?ID=499767&GUID=0A31461E-E640-4C80-BDDC-F98F3DF16372&Options=info&Search=,https://sfgov.legistar.com/View.ashx?M=A&ID=499767&GUID=0A31461E-E640-4C80-BDDC-F98F3DF16372,https://sfgov.legistar.com/View.ashx?M=M&ID=499767&GUID=0A31461E-E640-4C80-BDDC-F98F3DF16372,,,
48,Board of Supervisors,7/28/2016,,8:30 AM,"Legislative Chamber, Room 250
City Hall, 1 Dr. Carlton B. Goodlett Place
San Francisco, CA 94102-4689Special Meeting",Meeting details,Agenda,Minutes,Video,AudioDownload,Transcript,,,https://sfgov.legistar.com/View.ashx?M=IC&ID=499766&GUID=868DEA20-9CA9-438D-BC7D-F809BCB6D5C7,,,https://sfgov.legistar.com/MeetingDetail.aspx?ID=499766&GUID=868DEA20-9CA9-438D-BC7D-F809BCB6D5C7&Options=info&Search=,https://sfgov.legistar.com/View.ashx?M=A&ID=499766&GUID=868DEA20-9CA9-438D-BC7D-F809BCB6D5C7,https://sfgov.legistar.com/View.ashx?M=M&ID=499766&GUID=868DEA20-9CA9-438D-BC7D-F809BCB6D5C7,https://sfgov.legistar.com/#,https://sfgov.legistar.com/#,https://sfgov.legistar.com/#
49,Budget and Finance Sub-Committee,7/27/2016,,10:00 AM,"City Hall, Legislative Chamber, Room 250Regular Meeting",Meeting details,Agenda,Minutes,Video,AudioDownload,Transcript,,,https://sfgov.legistar.com/View.ashx?M=IC&ID=499758&GUID=4D9404CE-5C05-4113-90D0-5852785B5D07,,,https://sfgov.legistar.com/MeetingDetail.aspx?ID=499758&GUID=4D9404CE-5C05-4113-90D0-5852785B5D07&Options=info&Search=,https://sfgov.legistar.com/View.ashx?M=A&ID=499758&GUID=4D9404CE-5C05-4113-90D0-5852785B5D07,https://sfgov.legistar.com/View.ashx?M=M&ID=499758&GUID=4D9404CE-5C05-4113-90D0-5852785B5D07,https://sfgov.legistar.com/#,https://sfgov.legistar.com/#,https://sfgov.legistar.com/#
50,Board of Supervisors,7/26/2016,,2:00 PM,"Legislative Chamber, Room 250
City Hall, 1 Dr. Carlton B. Goodlett Place
San Francisco, CA 94102-4689Regular Meeting",Meeting details,Agenda,Minutes,Video,AudioDownload,Transcript,,,https://sfgov.legistar.com/View.ashx?M=IC&ID=499760&GUID=5BFF467B-A657-4EDC-8B6B-B01E045D9400,,,https://sfgov.legistar.com/MeetingDetail.aspx?ID=499760&GUID=5BFF467B-A657-4EDC-8B6B-B01E045D9400&Options=info&Search=,https://sfgov.legistar.com/View.ashx?M=A&ID=499760&GUID=5BFF467B-A657-4EDC-8B6B-B01E045D9400,https://sfgov.legistar.com/View.ashx?M=M&ID=499760&GUID=5BFF467B-A657-4EDC-8B6B-B01E045D9400,https://sfgov.legistar.com/#,https://sfgov.legistar.com/#,https://sfgov.legistar.com/#
