,index,MTG_TYPE,MTG_DATETIME,MTG_LOCATION,DOC_NUM_PAGES,CALL TO ORDER,ROLL CALL,PLEDGE OF ALLEGIANCE,INVOCATION,PROCLAMATIONS,COMMUNITY PARTICIPATION FORUM,CONSENT AGENDA,ANNOUNCEMENT OF NEW EMPLOYEES AND PROMOTIONS,NEW AND PROMOTED EMPLOYEES,ANNOUNCEMENT OF NEW AND PROMOTED EMPLOYEES,INTRODUCTION OF NEW OR PROMOTED EMPLOYEES,NEW AND PROMOTED EMPLOYEES,PUBLIC HEARING,ITEMS FOR COUNCIL CONSIDERATION,CITY STAFF AND COUNCIL COMMITTEE REPORTS,POTENTIAL FUTURE CITY COUNCIL ITEMS,CLOSED SESSION,ADJOURNMENT,NOTE 1,NOTE 2
26,27,regular,2018-07-16 18:00:00,"Gridley City Hall, 685 Kentucky Street, Gridley, CA 95948 ",3,Mayor Hall,Recording Secretary,Councilmember Borges,"Reverend Bill Hammond, Lighthouse Tabernacle",None,Members of the public may address the City Council on matters not listed on the agenda.   The City Council may not discuss nor take action on any community participation item brought forward by a member of the community.  Comments are requested to be limited to three (3) minutes.,"Items 1 through 6 of the Consent Agenda and are considered routine and acted upon by one motion. Any Council member may request that an item be removed for separate consideration. The City Council may only make minor comments; otherwise the item should be removed from the Consent Agenda and placed as the first item(s) under “Items for Council Consideration”.      City Services Update  City Council minutes dated June 4, 18, 21, and 25, 2018 Approval of Resolution No. 2018-R-017:  A Resolution of the City Council of the City of Gridley Requesting the Board of Supervisors of the County of Butte to Consolidate a General Municipal Election to be held on Tuesday, November 6, 2018, with the Statewide General Election to be held on the date Pursuant to §10403 of the Elections Code     Four Resolutions Authorizing the Levy of Assessment District Expenses for the Butte County 2018-2019 Tax Roll: a.  Resolution No. 2018-R-018: A Resolution of the City Council of the City of Gridley to Levy Assessment District No. 6 on Butte County 2017-2018 Tax Roll b.  Resolution No. 2018-R-019: A Resolution of the City Council of the City of Gridley to Levy Assessment District No.2 on Butte County 2017-18 Tax Roll                      c.  Resolution No. 2018-R-020: A Resolution of the City Council of the City of Gridley to Levy Assessment District No. 3 on Butte County 2017-2018 Tax Roll d.  Resolution No. 2018-R-021: A Resolution of the City Council of the City of Gridley to Levy Assessment District No. 1 on Butte County 2017-2018 Tax Roll   Approval of Resolution No. 2018-R-022:  A Resolution of the City Council of the City of Gridley Authorizing Submittal of an Application to the California State Department of Housing and Community Development for Funding Under the Home Investment Partnerships Program, and if Selected, the Execution of a Standard Agreement, any Amendments Thereto, and of any Related Documents Necessary to Participate in the Home Investment Partnerships Program Approval of Resolution No. 2018-R-023:  A Resolution of The City Council of the City of Gridley Approving Agreement No. 2CA03940 with the California Department of Forestry and Fire Protection and Authorizing the Mayor to sign the Agreement for Services from July 1, 2018 to June 30, 2019",,,,,,None,Abandoned and Unsafe Residential Structures,,,"Weed Abatement Liens Police Dispatch Procedures Kick-off of Zero Based Budget Process Approve Contract to Demolish Unsafe Buildings and Corresponding Budget Adjustment 8/6/2018 8/20/2018 9/3/2018 9/17/2018    California Government Code 54959 – Conference with Legal Counsel concerning existing litigation – The matter of Amy Farr, California Worker’s Compensation Appeals Board Case No. ADJ 107445  California Government Code 54957 (b)(1) – Employee Performance Evaluations: City Administrator, Finance Director, Police Chief, and Utility Director","adjourning to the next regularly scheduled meeting on August 6, 2018","POSTING OF AGENDA- This agenda was posted on the public bulletin board at City Hall at or before 6:00 p.m., July 13, 2018, in accordance with Government Code Section 5495 This agenda along with all attachments is available for public viewing online at www.gridley.ca.us and at the Administration counter in City Hall, 685 Kentucky Street, Gridley, CA.","REGARDING UNSCHEDULED MATTERS – In accordance with state law, it shall be the policy of this Council that no action shall be taken on any item presented during the public forum or on unscheduled matters unless the Council, by majority vote, determines that an emergency situation exists, or, unless the Council by a two-thirds vote finds that the need to take action arose subsequent to the posting of this agenda."
27,8,special,2018-06-25 13:00:00,"Gridley City Hall, 685 Kentucky Street, Gridley, CA 95948 ",1,Mayor Hall,,,,,Members of the public may address the City Council on matters not listed on the agenda.   The City Council may not discuss nor take action on any community participation item brought forward by a member of the community.  Comments are requested to be limited to three (3) minutes.,,,,,,,,Council approval of Fiscal Year 2018-2019 Budget:  •  Resolution No. 2018-R-015: A Resolution of the City Council of the City of Gridley Establishing the 2018-2019 Appropriations Limit for the City of Gridley •  Resolution No. 2018-R-016:  A Resolution of the City Council of the City of Gridley Adopting a Budget for Fiscal Year 2018-2019,,,,"adjourning to the next regularly scheduled meeting on July 16, 2018","POSTING OF AGENDA- This agenda was posted on the public bulletin board at City Hall at or before 1:00 p.m., June 22, 2018, in accordance with Government Code Section 5495 This agenda along with all attachments is available for public viewing online at www.gridley.ca.us and at the Administration counter in City Hall, 685 Kentucky Street, Gridley, CA.","REGARDING UNSCHEDULED MATTERS – In accordance with state law, it shall be the policy of this Council that no action shall be taken on any item presented during the public forum or on unscheduled matters unless the Council, by majority vote, determines that an emergency situation exists, or, unless the Council by a two-thirds vote finds that the need to take action arose subsequent to the posting of this agenda."
28,4,special,2018-06-21 13:00:00,"Gridley City Hall, 685 Kentucky Street, Gridley, CA 95948 ",1,Mayor Hall,,,,,Members of the public may address the City Council on matters not listed on the agenda.   The City Council may not discuss nor take action on any community participation item brought forward by a member of the community.  Comments are requested to be limited to three (3) minutes.,,,,,,,,"Special Budget Meeting – Introduction, Finance Director •  Electric (30 min) / Public Works (30 min) •  Police Department (30 min) •  Fire Department (15 min) •  Administration / Finance / Recreation (30 min)  Council comments",,,,"adjourning to the next Special Meeting on June 25, 2018","POSTING OF AGENDA- This agenda was posted on the public bulletin board at City Hall at or before 1:00 p.m., June 20, 2018, in accordance with Government Code Section 5495 This agenda along with all attachments is available for public viewing online at www.gridley.ca.us and at the Administration counter in City Hall, 685 Kentucky Street, Gridley, CA.","REGARDING UNSCHEDULED MATTERS – In accordance with state law, it shall be the policy of this Council that no action shall be taken on any item presented during the public forum or on unscheduled matters unless the Council, by majority vote, determines that an emergency situation exists, or, unless the Council by a two-thirds vote finds that the need to take action arose subsequent to the posting of this agenda."
29,12,,2018-06-18 18:00:00,"Gridley City Hall, 685 Kentucky Street, Gridley, CA 95948 ",2,Mayor Hall,Recording Secretary,Councilmember Chris Williams,,None,Members of the public may address the City Council on matters not listed on the agenda.   The City Council may not discuss nor take action on any community participation item brought forward by a member of the community.  Comments are requested to be limited to three (3) minutes.,Items 1 and 2 of the Consent Agenda and are considered routine and acted upon by one motion. Any Council member may request that an item be removed for separate consideration. The City Council may only make minor comments; otherwise the item should be removed from the Consent Agenda and placed as the first item(s) under “Items for Council Consideration”.     State Water Resources Grant Request NCPA Commissioner Appointment,,,,,,None,Seating of New City Councilmember and Oath of office Budget,,Special Meeting Budget Session – Expenditures Special Meeting Budget Session – Potential Approval Special Meeting Budget Session – Potential Approval Abandoned and Unsafe Buildings Code Enforcement,None,"adjourning to the next regularly scheduled meeting on July 2, 2018 6/21/2018 6/25/2018 6/28/2018 7/16/2018","POSTING OF AGENDA- This agenda was posted on the public bulletin board at City Hall at or before 6:00 p.m., June 15, 2018, in accordance with Government Code Section 5495 This agenda along with all attachments is available for public viewing online at www.gridley.ca.us and at the Administration counter in City Hall, 685 Kentucky Street, Gridley, CA.","REGARDING UNSCHEDULED MATTERS – In accordance with state law, it shall be the policy of this Council that no action shall be taken on any item presented during the public forum or on unscheduled matters unless the Council, by majority vote, determines that an emergency situation exists, or, unless the Council by a two-thirds vote finds that the need to take action arose subsequent to the posting of this agenda."
30,17,,2018-06-04 18:00:00,"Gridley City Hall, 685 Kentucky Street, Gridley, CA 95948 ",2,Mayor Hall,Recording Secretary,Vice Mayor Johnson,"Bishop Martin Brown, Church of Jesus Christ of Latter-Day Saints",None,Members of the public may address the City Council on matters not listed on the agenda.   The City Council may not discuss nor take action on any community participation item brought forward by a member of the community.  Comments are requested to be limited to three (3) minutes.,"Items 1 and 2 of the Consent Agenda and are considered routine and acted upon by one motion. Any Council member may request that an item be removed for separate consideration. The City Council may only make minor comments; otherwise the item should be removed from the Consent Agenda and placed as the first item(s) under “Items for Council Consideration”.  City Services UpdateCity Council minutes dated May 7, 2018",,,,,,None,Appointment of Council MemberBudget Presentation,,Budget Session - Expenditures Special Meeting Budget Session - Expenditures Special Meeting Budget Session – Potential Approval Special Meeting Budget Session – Potential Approval Abandoned and Unsafe Buildings Code Enforcement 6/18/2018 6/21/2018 6/25/2018 6/28/2018 7/16/2018,None,"adjourning to the next regularly scheduled meeting on June 18, 2018","POSTING OF AGENDA- This agenda was posted on the public bulletin board at City Hall at or before 6:00 p.m., June 1, 2018, in accordance with Government Code Section 5495 This agenda along with all attachments is available for public viewing online at www.gridley.ca.us and at the Administration counter in City Hall, 685 Kentucky Street, Gridley, CA.","REGARDING UNSCHEDULED MATTERS – In accordance with state law, it shall be the policy of this Council that no action shall be taken on any item presented during the public forum or on unscheduled matters unless the Council, by majority vote, determines that an emergency situation exists, or, unless the Council by a two-thirds vote finds that the need to take action arose subsequent to the posting of this agenda."
31,26,regular,2018-05-07 18:00:00,"Gridley City Hall, 685 Kentucky Street, Gridley, CA 95948 ",2,Mayor Hall,Recording Secretary,Councilmember Borges,"Pastor Brad Roberts, Calvary Chapel of Gridley",None,Members of the public may address the City Council on matters not listed on the agenda.   The City Council may not discuss nor take action on any community participation item brought forward by a member of the community.  Comments are requested to be limited to three (3) minutes.,"Items 1 and 2 of the Consent Agenda and are considered routine and acted upon by one motion. Any Council member may request that an item be removed for separate consideration. The City Council may only make minor comments; otherwise the item should be removed from the Consent Agenda and placed as the first item(s) under “Items for Council Consideration”.  City Services UpdateCity Council minutes dated April 16, 2018Police Vehicle Surplus",,,,,,None,Filling of Vacant Councilmember Seat,,Budget Session Abatement of Abandoned / Dangerous Properties Budget Session Budget Approval 5/21/2018 5/21/2018 6/4/2018 6/18/2018,None,"adjourning to the next regularly scheduled meeting on May 21, 2018","POSTING OF AGENDA- This agenda was posted on the public bulletin board at City Hall at or before 6:00 p.m., May 19, 2018, in accordance with Government Code Section 5495 This agenda along with all attachments is available for public viewing online at www.gridley.ca.us and at the Administration counter in City Hall, 685 Kentucky Street, Gridley, CA.","REGARDING UNSCHEDULED MATTERS – In accordance with state law, it shall be the policy of this Council that no action shall be taken on any item presented during the public forum or on unscheduled matters unless the Council, by majority vote, determines that an emergency situation exists, or, unless the Council by a two-thirds vote finds that the need to take action arose subsequent to the posting of this agenda."
32,10,regular,2018-04-16 18:00:00,"Gridley City Hall, 685 Kentucky Street, Gridley, CA 95948 ",2,Mayor Hall,Recording Secretary,Councilmember Williams,"Pastor Bill Hammond, Lighthouse Tabernacle",Sexual Assault Awareness and Child Abuse Prevention Month (Cinda Trembath receiving proclamation for Rape Crisis Intervention and Prevention),Members of the public may address the City Council on matters not listed on the agenda.   The City Council may not discuss nor take action on any community participation item brought forward by a member of the community.  Comments are requested to be limited to three (3) minutes.,"Items 1 thru 5 of the Consent Agenda and are considered routine and acted upon by one motion. Any Council member may request that an item be removed for separate consideration. The City Council may only make minor comments; otherwise the item should be removed from the Consent Agenda and placed as the first item(s) under “Items for Council Consideration”.    City Services Update     City Council minutes dated April 2, 2018 Adopt Resolution No. 2018-R-009: A Resolution Authorizing the City Administrator to Execute a Deferred Improvement Agreement to Defer the Construction of Sidewalk Improvements Located at 991 Kentucky Street Approval of new Agreement with North Valley Shooters and new rates for Range Users and Boat Ramp Users SB1 Project List to California Transportation Commission for FY 18-19",,,,,,None,Mid-Year Review of the FY 2017-2018 Budget Performance and 2018-19 Budget Schedule Overview,,,None,"adjourning to the next regularly scheduled meeting on May 7, 2018 Budget Session Abatement of Abandoned / Dangerous Properties Budget Session Budget Approval 5/7/2018 5/21/2018 6/4/2018 6/18/2018","POSTING OF AGENDA- This agenda was posted on the public bulletin board at City Hall at or before 6:00 p.m., April 13, 2018, in accordance with Government Code Section 5495 This agenda along with all attachments is available for public viewing online at www.gridley.ca.us and at the Administration counter in City Hall, 685 Kentucky Street, Gridley, CA.","REGARDING UNSCHEDULED MATTERS – In accordance with state law, it shall be the policy of this Council that no action shall be taken on any item presented during the public forum or on unscheduled matters unless the Council, by majority vote, determines that an emergency situation exists, or, unless the Council by a two-thirds vote finds that the need to take action arose subsequent to the posting of this agenda."
33,23,regular,2018-04-02 18:00:00,"Gridley City Hall, 685 Kentucky Street, Gridley, CA 95948 ",2,Mayor Hall,Recording Secretary,Mayor Hall,"Pastor Brandon Heskett, Christian Life Church",None,Members of the public may address the City Council on matters not listed on the agenda.   The City Council may not discuss nor take action on any community participation item brought forward by a member of the community.  Comments are requested to be limited to three (3) minutes.,"Items 1 and 2 of the Consent Agenda are considered routine and acted upon by one motion. Any Council member may request that an item be removed for separate consideration. The City Council may only make minor comments; otherwise the item should be removed from the Consent Agenda and placed as the first item(s) under “Items for Council Consideration”.    City Council minutes dated March 19, 2018",,,,,,None,Overview of Annual Weed Abatement Program and City Efforts in Right of Way Overview of City Efforts to Enforce Refuse Container Requirements,,,"General Fund fee study work session Mid-Year Budget Update 4/16/2018 4/16/2018                        Government Code 54959 – Conference with Legal Counsel concerning existing litigation – The matter of Amy Farr, California Worker’s Compensation Appeals Board, Case No. ADJ 107445”","adjourning to the next regularly scheduled meeting on April 16, 2018","POSTING OF AGENDA- This agenda was posted on the public bulletin board at City Hall at or before 6:00 p.m., March 30, 2018, in accordance with Government Code Section 5495 This agenda along with all attachments is available for public viewing online at www.gridley.ca.us and at the Administration counter in City Hall, 685 Kentucky Street, Gridley, CA.","REGARDING UNSCHEDULED MATTERS – In accordance with state law, it shall be the policy of this Council that no action shall be taken on any item presented during the public forum or on unscheduled matters unless the Council, by majority vote, determines that an emergency situation exists, or, unless the Council by a two-thirds vote finds that the need to take action arose subsequent to the posting of this agenda."
34,1,regular,2018-03-19 18:00:00,"Gridley City Hall, 685 Kentucky Street, Gridley, CA 95948 ",2,Mayor Hall,Recording Secretary,Vice Mayor Bruce Johnson,"Pastor Brad Roberts, Calvary Chapel of Gridley",None,Members of the public may address the City Council on matters not listed on the agenda.   The City Council may not discuss nor take action on any community participation item brought forward by a member of the community.  Comments are requested to be limited to three (3) minutes.,"The Consent Agenda is considered routine and acted upon by one motion. Any Council member may request that an item be removed for separate consideration. The City Council may only make minor comments; otherwise the item should be removed from the Consent Agenda and placed as the first item(s) under “Items for Council Consideration”.    City Council minutes dated February 28 and March 5, 2018",,,,,,None,Authorization for Execution of Certifications and Assurances for the State of Good Repair Program,,,None,"adjourning to the next regularly scheduled meeting on April 2, 2018 General Fund fee study work session Mid-Year Budget Update 4/16/2018 4/16/2018","POSTING OF AGENDA- This agenda was posted on the public bulletin board at City Hall at or before 6:00 p.m., March 16, 2018, in accordance with Government Code Section 5495 This agenda along with all attachments is available for public viewing online at www.gridley.ca.us and at the Administration counter in City Hall, 685 Kentucky Street, Gridley, CA.","REGARDING UNSCHEDULED MATTERS – In accordance with state law, it shall be the policy of this Council that no action shall be taken on any item presented during the public forum or on unscheduled matters unless the Council, by majority vote, determines that an emergency situation exists, or, unless the Council by a two-thirds vote finds that the need to take action arose subsequent to the posting of this agenda."
35,5,regular,2018-03-05 18:00:00,"Gridley City Hall, 685 Kentucky Street, Gridley, CA 95948 ",2,Mayor Hall,Recording Secretary,Councilmember Borges,"Reverend Dan Boeger, St. Timothy’s Episcopal Church",None,Members of the public may address the City Council on matters not listed on the agenda.   The City Council may not discuss nor take action on any community participation item brought forward by a member of the community.  Comments are requested to be limited to three (3) minutes.,"Items 1 thru 5 of the Consent Agenda and are considered routine and acted upon by one motion. Any Council member may request that an item be removed for separate consideration. The City Council may only make minor comments; otherwise the item should be removed from the Consent Agenda and placed as the first item(s) under “Items for Council Consideration”.      City Services Update  City Council minutes dated February 5, 2018 Adopt Resolution No. 2018-R-004: A Resolution Authorizing the City Administrator to Execute a Deferred Improvement Agreement for Curb, Gutter, and Sidewalk Located at 165 Kentucky Street Deferring the Off-Site Improvements     Resolution Supporting the Reducing Crime and Keeping California Safe Act of 2018 Resolution Authorizing Finance Director to Administer State and Federal Disaster Assistance",a. Police Department Employees,,,,,None,Annual Independent Financial Audit Report,,,None,"adjourning to the next regularly scheduled meeting on March 19, 2018 Mid-Year Budget Update General Fund fee study work session       Introduction of Preliminary Budget 4/2/2018 4/16/2018 5/21/2018","POSTING OF AGENDA- This agenda was posted on the public bulletin board at City Hall at or before 6:00 p.m., March 2, 2018, in accordance with Government Code Section 5495 This agenda along with all attachments is available for public viewing online at www.gridley.ca.us and at the Administration counter in City Hall, 685 Kentucky Street, Gridley, CA.","REGARDING UNSCHEDULED MATTERS – In accordance with state law, it shall be the policy of this Council that no action shall be taken on any item presented during the public forum or on unscheduled matters unless the Council, by majority vote, determines that an emergency situation exists, or, unless the Council by a two-thirds vote finds that the need to take action arose subsequent to the posting of this agenda."
36,18,special,2018-02-28 15:00:00,"Gridley City Hall, 685 Kentucky Street, Gridley, CA 95948 ",1,Mayor Hall,,,,,,,,,,,,,,,,"PUBLIC EMPLOYEE PERFORMANCE EVALUATION Titles: City Administrator, Chief of Police, Electric/Public Works Superintendent","adjourning to the next regularly scheduled meeting on March 5, 2018","POSTING OF AGENDA- This agenda was posted on the public bulletin board at City Hall at or before 3:00 p.m., February 26, 2018, in accordance with Government Code Section 5495 This agenda along with all attachments is available for public viewing online at www.gridley.ca.us and at the Administration counter in City Hall, 685 Kentucky Street, Gridley, CA.","REGARDING UNSCHEDULED MATTERS – In accordance with state law, it shall be the policy of this Council that no action shall be taken on any item presented during the public forum or on unscheduled matters unless the Council, by majority vote, determines that an emergency situation exists, or, unless the Council by a two-thirds vote finds that the need to take action arose subsequent to the posting of this agenda."
37,22,regular,2018-02-05 18:00:00,"Gridley City Hall, 685 Kentucky Street, Gridley, CA 95948 ",2,Mayor Hall,Recording Secretary,Councilmember Chris Williams,"Bishop Terry Hamblin, Church of Jesus Christ of Latter Day Saints",National Teen Dating Violence Prevention and Awareness Month Proclamation (Tracy Weeber accepting),Members of the public may address the City Council on matters not listed on the agenda.   The City Council may not discuss nor take action on any community participation item brought forward by a member of the community.  Comments are requested to be limited to three (3) minutes.,"Items 1 thru 3 of the Consent Agenda and are considered routine and acted upon by one motion. Any Council member may request that an item be removed for separate consideration. The City Council may only make minor comments; otherwise the item should be removed from the Consent Agenda and placed as the first item(s) under “Items for Council Consideration”.  City Services UpdateCity Council minutes dated January 16, 2018Adopt a Resolution approving the attestation of veracity for the 2016 Power SourceDisclosure Report and submission of the report to the California Energy Commission",,,,,,None,None,,Annual Audit Report Sewer Pond Improvements and Policies General Fund fee study work session Mid-Year Budget Update,"PUBLIC EMPLOYEE PERFORMANCE EVALUATION Titles: City Administrator, Chief of Police, Electric/Public Works Superintendent 2/20/2018 2/20/2018 3/5/2018 3/5/2018","adjourning to the next regularly scheduled meeting on February 20, 2018","POSTING OF AGENDA- This agenda was posted on the public bulletin board at City Hall at or before 6:00 p.m., February 2, 2018, in accordance with Government Code Section 5495 This agenda along with all attachments is available for public viewing online at www.gridley.ca.us and at the Administration counter in City Hall, 685 Kentucky Street, Gridley, CA.","REGARDING UNSCHEDULED MATTERS – In accordance with state law, it shall be the policy of this Council that no action shall be taken on any item presented during the public forum or on unscheduled matters unless the Council, by majority vote, determines that an emergency situation exists, or, unless the Council by a two-thirds vote finds that the need to take action arose subsequent to the posting of this agenda."
38,34,regular,2018-01-16 18:00:00,"Gridley City Hall, 685 Kentucky Street, Gridley, CA 95948 ",2,Mayor Hall,Recording Secretary,Mayor Hall,"Pastor Bill Hammond, Lighthouse Tabernacle",None,Members of the public may address the City Council on matters not listed on the agenda.   The City Council may not discuss nor take action on any community participation item brought forward by a member of the community.  Comments are requested to be limited to three (3) minutes.,"Items 1 thru 4 of the Consent Agenda and are considered routine and acted upon by one motion. Any Council member may request that an item be removed for separate consideration. The City Council may only make minor comments; otherwise the item should be removed from the Consent Agenda and placed as the first item(s) under “Items for Council Consideration”.      City Services Update  City Council minutes dated December 18, 2017 Resolution No. 2018-R-002 Appointing Primary and Alternate Representative to Northern California Cities Self Insurance Fund Board of Directors  Resolution No. 2018-R-001: A Resolution to Enter an Agreement with the State of California Department of Transportation for the Maintenance of Frontage Improvements, Lighting, Landscaping, Irrigation and any other Components within the State Right-Of-Way for the Parcel Located at 1513 Highway 99 (APN 010-200-050) and to Authorize the City Administrator to Execute the Agreement on Behalf of the City Council.",a.  Introduction of Gridley CalFire Fire Chief Jamie Norton (Chris Haile) b.  Introduction of new Finance Director Juan Solis (Paul Eckert) c.  Oath of Office Finance Director Juan Solis (Mayor) d.  Introduction of new Police Dispatcher and Police Officer (Dean Price) e.  Announcement of Police Lt. Promotion Scott Smallwood (Dean Price),,,,,"Appeal of Site Development Plan Review No. 4-17, AM/PM, 1646 Hwy 99 a.  Receive staff report b.  Open Public Hearing c.  Receive Public Comment d.  Close Public Hearing e.  Council discussion and motion",,,,None,"adjourning to the next regularly scheduled meeting on February 5, 2018 Annual Audit Report Sewer Pond Improvements and Policies General Fund fee study work session Mid-Year Budget Update 2/20/2018 2/20/2018 3/5/2018 3/5/2018","POSTING OF AGENDA- This agenda was posted on the public bulletin board at City Hall at or before 6:00 p.m., January 12, 2018, in accordance with Government Code Section 5495 This agenda along with all attachments is available for public viewing online at www.gridley.ca.us and at the Administration counter in City Hall, 685 Kentucky Street, Gridley, CA.","REGARDING UNSCHEDULED MATTERS – In accordance with state law, it shall be the policy of this Council that no action shall be taken on any item presented during the public forum or on unscheduled matters unless the Council, by majority vote, determines that an emergency situation exists, or, unless the Council by a two-thirds vote finds that the need to take action arose subsequent to the posting of this agenda."
39,28,regular,2017-12-18 18:00:00,"Gridley City Hall, 685 Kentucky Street, Gridley, CA 95948 ",2,Mayor Hall,Recording Secretary,Vice Mayor Johnson,"Bishop John Walton, Church of Jesus Christ of Latter-Day Saints",None,Members of the public may address the City Council on matters not listed on the agenda.   The City Council may not discuss nor take action on any community participation item brought forward by a member of the community.  Comments are requested to be limited to three (3) minutes.,"Items 1 thru 3 of the Consent Agenda and are considered routine and acted upon by one motion. Any Council member may request that an item be removed for separate consideration. The City Council may only make minor comments; otherwise the item should be removed from the Consent Agenda and placed as the first item(s) under “Items for Council Consideration”.       City Services Update  City Council minutes dated November 20, 2017 Finance Director Employment Agreement Approval",,,,,,"Public Hearing to receive public testimony on the City’s intention to approve Resolution No 2017-R-031:  A Resolution of the City Council of the City of Gridley Amending Gridley’s Master Fee Schedule to Modify Title 13 (C), Electric Charges a.  Receive Staff Report b.  Open Public Hearing c.  Receive Public Comment d.  Close Public Hearing e.  Council Discussion    OTHER",,,,None,"adjourning to the next regularly scheduled meeting on January 2, 2018 Sewer Pond Improvements and Policies General Fund fee study work session AM/PM Application 2/20/2018 2/20/2018 1/15/2018","POSTING OF AGENDA- This agenda was posted on the public bulletin board at City Hall at or before 6:00 p.m., December 13, 2017, in accordance with Government Code Section 5495 This agenda along with all attachments is available for public viewing online at www.gridley.ca.us and at the Administration counter in City Hall, 685 Kentucky Street, Gridley, CA.","REGARDING UNSCHEDULED MATTERS – In accordance with state law, it shall be the policy of this Council that no action shall be taken on any item presented during the public forum or on unscheduled matters unless the Council, by majority vote, determines that an emergency situation exists, or, unless the Council by a two-thirds vote finds that the need to take action arose subsequent to the posting of this agenda."
40,37,regular,2017-11-20 18:00:00,"Gridley City Hall, 685 Kentucky Street, Gridley, CA 95948 ",2,Mayor Hall,Recording Secretary,Councilmember Borges,"Reverend Dan Boeger, St. Timothy’s Episcopal Church",None,Members of the public may address the City Council on matters not listed on the agenda.   The City Council may not discuss nor take action on any community participation item brought forward by a member of the community.  Comments are requested to be limited to three (3) minutes.,"Items 1 and 2 of the Consent Agenda and are considered routine and acted upon by one motion. Any Council member may request that an item be removed for separate consideration. The City Council may only make minor comments; otherwise the item should be removed from the Consent Agenda and placed as the first item(s) under “Items for Council Consideration”.  City Services UpdateCity Council minutes dated November 6, 2017",,,,,,"Second Reading and Adoption of Ordinance 831-2017: An Ordinance of the City ofGridley to amend Chapter 14, Development Impact Fees, to the Gridley MunicipalCode establishing reduced development impact fees for second residential units.a. Receive Staff Reportb. Open Public Hearingc. Receive Public Commentd. Close Public Hearinge. Council discussionAdopt Ordinance 831-2017 by reading of title only, and determine the project is Categorically Exempt per the California Environmental Quality Act, Section 15061(b) (3), and Review for Exemption, General Rule.   2017 Community Development Block Grant (CDBG) Application Submittal Public Hearing a.  Receive Staff Report b.  Open Public Hearing c.  Receive Public Comment d.  Close Public Hearing   Approve Resolution No. 2017-R-030: A Resolution of the City Council of the City of Gridley Approving an Application for Funding and the Execution of a Grant Agreement and any Amendments Thereto From the 2017 Funding Year of the State CDBG Program OTHER",Waste Water Treatment Plant Truck Replacement Overview of Gridley Electric Fund and Potential Rate Changes,,,"Sewer Pond Improvements and Policies Potential Electric Rate Changes General Fund fee study work session 12/4/2017 12/18/2017 1/15/2018     Government Code 54959, Conference with Legal Counsel Concerning Anticipated Litigation Government Code 54957(b), Public Employment, Finance Director","adjourning to the next regularly scheduled meeting on December 4, 2017","POSTING OF AGENDA- This agenda was posted on the public bulletin board at City Hall at or before 6:00 p.m., November 17, 2017, in accordance with Government Code Section 5495 This agenda along with all attachments is available for public viewing online at www.gridley.ca.us and at the Administration counter in City Hall, 685 Kentucky Street, Gridley, CA.","REGARDING UNSCHEDULED MATTERS – In accordance with state law, it shall be the policy of this Council that no action shall be taken on any item presented during the public forum or on unscheduled matters unless the Council, by majority vote, determines that an emergency situation exists, or, unless the Council by a two-thirds vote finds that the need to take action arose subsequent to the posting of this agenda."
41,38,,2017-11-06 18:00:00,"Gridley City Hall, 685 Kentucky Street, Gridley, CA 95948 ",2,Mayor Hall,Recording Secretary,Councilmember Gary Davidson,"Pastor Bill Hammond, Lighthouse Tabernacle",None,Members of the public may address the City Council on matters not listed on the agenda.   The City Council may not discuss nor take action on any community participation item brought forward by a member of the community.  Comments are requested to be limited to three (3) minutes.,"Items 1 and 2 of the Consent Agenda and are considered routine and acted upon by one motion. Any Council member may request that an item be removed for separate consideration. The City Council may only make minor comments; otherwise the item should be removed from the Consent Agenda and placed as the first item(s) under “Items for Council Consideration”.      City Services Update  City Council minutes dated October 16, 2017",,,,,,"Introduction and First Reading of Ordinance 831-2017: An Ordinance of the City of Gridley to amend Chapter 14, Development Impact Fees, to the Gridley Municipal Code establishing reduced development impact fees for second residential units. a.  Receive Staff Report b.  Open Public Hearing c.  Receive Public Comment d.  Close Public Hearing e.  Council discussion f.  Adopt Ordinance 831-2017 by reading of title only, and determine the project is Categorically Exempt per the California Environmental Quality Act, Section 15061(b) (3), and Review for Exemption, General Rule.                        OTHER",FEMA funded purchase of replacement Boat Dock   11/20/2017 11/20/2017 12/4/2017 1/15/2018 Electric Rate Discussion CDBG First Time Homebuyers Grant Application Sewer Pond Improvements and Policies General Fund fee study work session,,,None,"adjourning to the next regularly scheduled meeting on November 20, 2017","POSTING OF AGENDA- This agenda was posted on the public bulletin board at City Hall at or before 6:00 p.m., November 3, 2017, in accordance with Government Code Section 5495 This agenda along with all attachments is available for public viewing online at www.gridley.ca.us and at the Administration counter in City Hall, 685 Kentucky Street, Gridley, CA.","REGARDING UNSCHEDULED MATTERS – In accordance with state law, it shall be the policy of this Council that no action shall be taken on any item presented during the public forum or on unscheduled matters unless the Council, by majority vote, determines that an emergency situation exists, or, unless the Council by a two-thirds vote finds that the need to take action arose subsequent to the posting of this agenda."
